date,snapshot_utc,late_snapshot,prob_hits,prob_graded,prob_expected,ev_hits,ev_graded,ev_expected,ev_flat_pnl
2026-07-10,2026-07-10T15:34:44+00:00,False,5,20,4.21,3,20,3.01,-0.55
2026-07-11,2026-07-11T14:24:01+00:00,False,4,20,4.08,2,20,2.93,-7.8
2026-07-12,2026-07-12T13:31:24+00:00,False,2,20,3.83,2,20,2.44,-3.0
2026-07-14,2026-07-14T14:27:20+00:00,False,0,0,0,0,0,0,0
2026-07-16,2026-07-16T14:36:35+00:00,False,2,18,3.26,2,15,2.8,-3.9
2026-07-17,2026-07-17T20:30:10+00:00,True,5,20,4.51,1,20,3.13,-11.0
2026-07-18,2026-07-18T14:05:54+00:00,False,3,20,4.47,3,20,2.99,0.0
2026-07-19,2026-07-19T14:10:21+00:00,False,2,20,4.64,6,20,2.8,28.2
2026-07-20,2026-07-20T14:55:47+00:00,False,5,20,4.65,1,20,2.82,-11.5
2026-07-21,2026-07-21T14:40:37+00:00,False,4,20,4.39,2,20,2.94,-6.75
2026-07-22,2026-07-22T14:40:12+00:00,False,3,20,4.43,2,20,2.9,-4.0
2026-07-23,2026-07-23T14:53:28+00:00,False,3,20,3.42,3,20,2.64,7.1
2026-07-24,2026-07-24T14:26:30+00:00,False,2,20,3.85,5,20,2.73,22.75
2026-07-25,2026-07-25T14:18:31+00:00,False,0,20,4.15,0,20,2.87,-20.0
2026-07-26,2026-07-26T14:13:22+00:00,False,7,20,4.27,2,20,2.73,-8.1
2026-07-27,2026-07-27T15:31:31+00:00,False,0,20,4.13,0,20,2.8,-20.0
2026-07-28,2026-07-28T15:05:30+00:00,False,4,20,4.27,1,20,2.66,-11.5
2026-07-29,2026-07-29T14:59:15+00:00,False,1,20,4.23,1,20,2.44,-11.5
2026-07-30,2026-07-30T14:54:13+00:00,False,6,20,4.27,0,20,2.66,-20.0
2026-07-31,2026-07-31T15:07:45+00:00,False,6,20,4.39,4,20,2.84,10.35
2026-08-01,2026-08-01T14:11:11+00:00,False,7,20,4.33,4,20,2.64,28.0
2026-08-02,2026-08-02T14:13:11+00:00,False,3,20,4.41,2,20,2.82,-4.0
2026-08-03,2026-08-03T15:30:36+00:00,False,5,20,3.85,1,20,2.4,-11.0
2026-08-04,2026-08-04T15:10:09+00:00,False,0,20,4.18,3,20,2.54,9.5
2026-08-05,2026-08-05T15:00:22+00:00,False,4,20,4.39,1,20,2.64,-15.0
